epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,6123.92,1.32028,0.67722,0.00229,0.64914,0.42726,0.4841,0.30881,1.40208,0.88608,0.00258,0.0001061,0.0001061,0.0001061
88,6194.11,1.24616,0.6094,0.00221,0.55103,0.49223,0.48867,0.31079,1.41029,0.89226,0.0026,9.90318e-05,9.90318e-05,9.90318e-05
89,6263.87,1.21767,0.60673,0.00229,0.5759,0.47305,0.48946,0.30977,1.41124,0.89146,0.0026,9.19632e-05,9.19632e-05,9.19632e-05
90,6333.5,1.26157,0.64083,0.00216,0.57298,0.4774,0.48955,0.30977,1.40631,0.88169,0.00258,8.48946e-05,8.48946e-05,8.48946e-05
91,6403.96,1.24437,0.58728,0.00213,0.59387,0.46845,0.49285,0.31082,1.40191,0.87535,0.00257,7.7826e-05,7.7826e-05,7.7826e-05
92,6473.67,1.26375,0.60521,0.00216,0.58465,0.47132,0.49394,0.31187,1.40458,0.87813,0.00257,7.07574e-05,7.07574e-05,7.07574e-05
93,6543.52,1.19845,0.61991,0.00238,0.56662,0.48526,0.49355,0.30873,1.40706,0.88059,0.00258,6.36888e-05,6.36888e-05,6.36888e-05
94,6613.61,1.29275,0.62915,0.0021,0.55317,0.48474,0.49375,0.30985,1.40535,0.87787,0.00259,5.66202e-05,5.66202e-05,5.66202e-05
95,6683.38,1.28692,0.63252,0.00216,0.55584,0.48315,0.49436,0.3114,1.40131,0.87817,0.00258,4.95516e-05,4.95516e-05,4.95516e-05
96,6753.73,1.18375,0.564,0.00231,0.55713,0.47387,0.49421,0.31196,1.40224,0.87417,0.00257,4.2483e-05,4.2483e-05,4.2483e-05
97,6823.77,1.30668,0.66055,0.00206,0.57709,0.46769,0.49413,0.31218,1.40147,0.87581,0.00257,3.54144e-05,3.54144e-05,3.54144e-05
98,6893.77,1.1665,0.54765,0.00214,0.56921,0.47754,0.49372,0.31128,1.40284,0.87528,0.00257,2.83458e-05,2.83458e-05,2.83458e-05
99,6963.63,1.24399,0.6335,0.00231,0.59355,0.4636,0.49449,0.31145,1.40246,0.8743,0.00257,2.12772e-05,2.12772e-05,2.12772e-05
100,7033.43,1.27822,0.66007,0.00219,0.58164,0.46566,0.494,0.31111,1.40326,0.87332,0.00258,1.42086e-05,1.42086e-05,1.42086e-05
